Date,W/L,Side,Vs,Game Length,Champion,VsChampion,K,D,A,KDA,CS,CS Lead
2022-05-28 9:59:00,Win,Red,G2 Esports,20:43,Akali,Zoe,5,1,5,10,146,+13
2022-05-28 9:04:00,Win,Red,G2 Esports,32:12,LeBlanc,Ahri,8,3,5,4.33,279,+9
2022-05-28 8:17:00,Win,Blue,G2 Esports,24:11,Tristana,Galio,5,1,2,7,225,+73
2022-05-24 10:37:00,Win,Blue,Royal Never Give Up,32:30,Ahri,Twisted Fate,2,1,5,7,292,▬
2022-05-24 7:55:00,Win,Red,Saigon Buffalo,23:26,Twisted Fate,Galio,3,1,11,14,192,+12
2022-05-23 11:09:00,Win,Red,G2 Esports,21:45,Ahri,LeBlanc,2,1,8,10,197,+41
2022-05-23 9:11:00,Loss,Blue,Evil Geniuses.NA,32:02,Zoe,Galio,1,4,6,1.75,226,+26
2022-05-22 11:01:00,Win,Blue,PSG Talon,34:34,Twisted Fate,Galio,4,4,9,3.25,238,+40
2022-05-22 8:13:00,Win,Red,Evil Geniuses.NA,25:03,Sylas,Twisted Fate,4,1,4,8,214,+6
2022-05-21 12:07:00,Loss,Red,Royal Never Give Up,32:38,Zoe,Ahri,4,4,4,2,222,-33
2022-05-21 10:14:00,Win,Blue,Saigon Buffalo,22:56,Ahri,Akali,4,0,6,10,254,+101
2022-05-20 13:19:00,Win,Red,PSG Talon,33:10,Zoe,Ahri,4,2,7,5.5,248,-33
2022-05-20 8:09:00,Loss,Blue,G2 Esports,39:09,Twisted Fate,Yasuo,2,4,4,1.5,305,-54
2022-05-15 10:36:00,Win,Red,Saigon Buffalo,21:54,Sylas,Twisted Fate,2,1,3,5,177,+15
2022-05-15 8:49:00,Win,Blue,Team Aze,22:16,LeBlanc,Ahri,2,1,8,10,191,+35
2022-05-15 7:00:00,Win,Red,DetonatioN FocusMe,23:43,Zoe,Syndra,6,0,4,10,191,-8
2022-05-12 12:38:00,Win,Blue,DetonatioN FocusMe,24:43,LeBlanc,Ahri,4,3,5,3,171,-12
2022-05-11 11:32:00,Win,Red,Team Aze,20:45,Ahri,Vex,7,0,8,15,200,+42
2022-05-10 8:12:00,Win,Blue,Saigon Buffalo,26:04,Twisted Fate,Sylas,2,1,5,7,201,+11
